seed,model,initial_performance,final_performance,best_performance,worst_performance,relative_improvement_pct,improvement_rate_per_checkpoint,convergence_efficiency_pct,performance_variance,training_checkpoints,best_checkpoint
seed2,adaptiveclipping,1853.621572248657,566.7383426050033,489.78334260500327,1853.621572248657,69.42534813524617,25.737664592873074,94.35746862587165,38561.252828701574,50,390
seed2,adaptivelearning,2292.687246266846,524.6802426050033,501.4060826050033,2292.687246266846,77.11505381035579,35.360140073236856,98.70069755255945,64441.95569126487,50,400
seed2,both,1984.9303484541138,530.3540626050034,525.0992144359248,1984.9303484541138,73.28097366146629,29.091525716982204,99.64003725865095,46136.67019692575,50,190
seed2,vanilla,2013.1598386777596,532.485333408641,532.485333408641,2013.1598386777596,73.54977368521435,29.613490105382372,100.0,51770.07656496212,50,500
seed0,adaptiveclipping,2497.329648006822,581.5260426050033,538.4603334086411,2497.329648006822,76.71408566069229,38.31607210803637,97.80150166856862,85162.53283673288,50,360
seed0,generalized,2388.858950641381,561.6343826050033,500.2139872941299,2388.858950641381,76.48942887757308,36.544491360727555,96.74791204790455,93436.32198419342,50,440
seed0,adaptivelearning,2263.9981846595706,618.1236126959489,506.6179880068222,2263.9981846595706,72.69769839550936,32.91749143927243,93.65500846649407,72199.91356448887,50,450
seed0,both,2457.6419192577514,548.9631826050033,496.6471734086411,2457.6419192577514,77.66301191791197,25.449049822036642,97.33216984353982,67355.14008650003,75,590
seed0,vanilla,2328.414100417735,543.5255226050033,506.09602260500327,2328.414100417735,76.65683597657777,35.69777155625464,97.94605011848834,77687.83924529921,50,430
seed1,adaptiveclipping,1840.2418620250112,621.4848226050034,537.2312626050033,1840.2418620250112,66.22809015326287,24.37514078840016,93.53393134042787,49639.565888247744,50,480
seed1,generalized,1547.3215026050032,685.1221226050034,496.95464260500324,1547.3215026050032,55.722057668586544,8.621993799999998,82.08554675839639,35406.68515902978,100,780
seed1,adaptivelearning,1732.3623030522945,534.3795760432005,527.4855226050033,1732.3623030522945,69.15312835532943,23.959654540181884,99.42782087346411,60645.81448214434,50,430
seed1,both,1444.514323414145,580.7095226050034,519.2453328286491,1444.514323414145,59.79897788535027,17.276096016182834,93.35715447056529,33664.79471783622,50,430
seed1,vanilla,1278.8339226050032,513.3745026050033,504.7908826050033,1278.8339226050032,59.856045923519765,15.309188399999998,98.89106683266606,23241.455515831763,50,450
